ID_REF,GSM701542,GSM701543,GSM701544,GSM701545,no mutation,mutation,log 2 fold change,fold change
1552316_a_at,0.67526877,0.390684,0.44427526,0.94983625,0.532976385,0.697055755,0.3872024449,1.307854859
1552318_at,1.8822583,1.2297944,0.5747401,0.4100974,1.55602635,0.49241875,-1.659908889,0.3164591332
1552319_a_at,32.507168,21.717001,1.6066992,8.30221,27.1120845,4.9544546,-2.452137883,0.1827397152
1552320_a_at,9.813146,8.28028,0.9311305,6.5930185,9.046713,3.7620745,-1.265865285,0.4158498783
1552321_a_at,2.8411,2.875166,1.4044573,0.6259795,2.858133,1.0152184,-1.49328293,0.3552033443
1552322_at,15.768866,10.366504,14.810671,2.988988,13.067685,8.8998295,-0.554153981,0.6810563233
1552323_s_at,64.31545,28.739985,49.55103,15.476049,46.5277175,32.5135395,-0.5170497951,0.6987993662
1552325_at,5.487493,2.0133028,0.30533996,0.60443974,3.7503979,0.45488985,-3.043454518,0.1212910902
1552326_a_at,2.8059134,4.683599,2.073444,1.7323989,3.7447562,1.90292145,-0.9766557856,0.5081562987
1552327_at,50.67996,36.740948,7.2166524,0.68230844,43.710454,3.94948042,-3.468243588,0.09035551129
1552329_at,93.12833,112.967926,126.21664,62.284206,103.048128,94.250423,-0.1287472983,0.9146252807
1552330_at,93.56288,102.96294,61.108006,53.27576,98.26291,57.191883,-0.7808365583,0.582029201
1552332_at,19.251484,13.566343,20.365608,27.961075,16.4089135,24.1633415,0.5583402605,1.472574129
1552334_at,35.007393,33.31737,33.650143,23.483313,34.1623815,28.566728,-0.2580727493,0.8362042324
1552335_at,8.434641,32.956333,28.630356,11.364149,20.695487,19.9972525,-0.04951440188,0.9662615091
1552337_s_at,4.742896,1.9201117,1.8073765,13.859319,3.33150385,7.83334775,1.233455445,2.351294821
1552338_at,1.1907033,0.953293,0.6381627,0.9313457,1.07199815,0.7847542,-0.4499896658,0.7320480917
1552340_at,1.6181233,2.794188,3.4539495,3.6595557,2.20615565,3.5567526,0.6890260468,1.61219477
1552343_s_at,58.77717,80.61748,87.67218,56.009903,69.697325,71.8410415,0.04370497922,1.030757515
1552344_s_at,238.3166,241.26822,321.1044,159.66406,239.79241,240.38423,0.003556258844,1.002468051
1552347_at,110.16504,150.61829,102.2734,69.690704,130.391665,85.982052,-0.600744205,0.6594137133
1552348_at,5.2496896,19.943125,2.6445248,21.36893,12.5964073,12.0067274,-0.06916933424,0.9531866598
1552349_a_at,6.6729145,1.1154193,1.1174809,1.1705416,3.8941669,1.14401125,-1.767213478,0.2937756083
1552354_at,2.1463594,4.5848784,2.9262896,3.3090062,3.3656189,3.1176479,-0.1104138223,0.9263223177
1552355_s_at,13.391885,5.667305,10.4993105,3.1321716,9.529595,6.81574105,-0.4835443777,0.715218333
1552359_at,0.34091812,8.880047,0.7307567,1.1557643,4.61048256,0.9432605,-2.2891896,0.2045904063
1552360_a_at,41.769085,50.024723,26.677088,26.440063,45.896904,26.5585755,-0.789219071,0.5786572336
